Date,Values
2024-05-28,
2024-05-29,
2024-05-30,
2024-05-31,
2024-06-03,
2024-06-04,
2024-06-05,
2024-06-06,
2024-06-07,
2024-06-10,116.64120025634766
2024-06-11,117.34210052490235
2024-06-12,118.37960052490234
2024-06-13,120.2906005859375
2024-06-14,122.51530075073242
2024-06-17,124.11330032348633
2024-06-18,126.0276008605957
2024-06-20,126.86160049438476
2024-06-21,127.4188003540039
2024-06-24,127.14100036621093
2024-06-25,127.57099990844726
2024-06-26,128.11999969482423
2024-06-27,127.99899978637696
2024-06-28,127.39199981689453
2024-07-01,126.63399963378906
2024-07-02,125.8029998779297
2024-07-03,125.0729995727539
2024-07-05,124.57799987792968
2024-07-08,124.74099960327149
2024-07-09,126.06800003051758
2024-07-10,126.95000076293945
2024-07-11,127.05000076293945
2024-07-12,127.5750015258789
2024-07-15,128.06500167846679
2024-07-16,128.27100143432617
2024-07-17,127.8030014038086
2024-07-18,127.08400115966796
2024-07-19,126.29400100708008
2024-07-22,125.8280014038086
2024-07-23,124.94900054931641
2024-07-24,122.88300018310547
2024-07-25,121.37099990844726
2024-07-26,119.75299911499023
2024-07-29,118.06799850463867
2024-07-30,115.80499877929688
2024-07-31,115.70799865722657
2024-08-01,114.51999893188477
2024-08-02,113.45399856567383
2024-08-05,111.1449981689453
2024-08-06,109.31099853515624
2024-08-07,107.7769989013672
2024-08-08,107.0459991455078
2024-08-09,106.21499938964844
2024-08-12,105.95799942016602
2024-08-13,107.1989990234375
2024-08-14,107.30499954223633
2024-08-15,108.66999969482421
2024-08-16,110.40100021362305
2024-08-19,113.35600051879882
2024-08-20,115.65600051879883
2024-08-21,118.6150001525879
2024-08-22,120.49199981689453
2024-08-23,122.95399932861328
2024-08-26,124.6979995727539
2024-08-27,125.91399993896485
2024-08-28,126.66699981689453
2024-08-29,126.13999938964844
2024-08-30,125.61899948120117
2024-09-03,123.41899948120117
2024-09-04,121.31499938964843
2024-09-05,119.18599929809571
2024-09-06,117.09499969482422
2024-09-09,114.80500030517578
2024-09-10,112.96900024414063
2024-09-11,111.83000030517579
2024-09-12,111.18300018310546
2024-09-13,111.33400039672851
2024-09-16,111.075
2024-09-17,111.83399963378906
2024-09-18,112.55
2024-09-19,113.61600036621094
2024-09-20,114.93300018310546
2024-09-23,115.9120002746582
2024-09-24,117.18900070190429
2024-09-25,117.8490005493164
2024-09-26,118.3390007019043
2024-09-27,118.56900100708008
2024-09-30,119.03500137329101
2024-10-01,119.17600173950196
2024-10-02,119.72400131225587
2024-10-03,120.22200088500976
2024-10-04,121.1140007019043
2024-10-07,122.26000061035157
2024-10-08,123.46200027465821
2024-10-09,124.3759994506836
2024-10-10,125.45299911499023
2024-10-11,126.79299926757812
2024-10-14,128.45599975585938
2024-10-15,129.91600036621094
2024-10-16,131.60300064086914
2024-10-17,133.01100006103516
2024-10-18,134.31900024414062
2024-10-21,135.91800079345703
2024-10-22,136.98800048828124
2024-10-23,137.6790008544922
2024-10-24,138.23900146484374
2024-10-25,138.91300048828126
2024-10-28,139.15800018310546
2024-10-29,140.1229995727539
2024-10-30,140.48499908447266
2024-10-31,140.06799926757813
2024-11-01,139.80799865722656
2024-11-04,139.04199829101563
2024-11-05,138.6739990234375
2024-11-06,139.27899932861328
2024-11-07,140.1259994506836
2024-11-08,140.73500061035156
2024-11-11,141.20899963378906
2024-11-12,141.91299896240236
2024-11-13,142.6059997558594
2024-11-14,144.00599975585936
2024-11-15,144.66399993896485
2024-11-18,145.0739990234375
2024-11-19,145.78399810791015
2024-11-20,145.81199798583984
2024-11-21,145.59099731445312
2024-11-22,145.0229965209961
2024-11-25,144.0989974975586
2024-11-26,142.96199798583984
2024-11-27,141.8689971923828
